id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7v5rsCN3LhX9XaIlWyTdx3,Steal Away - Remastered,Robbie Dupree,54,12/1/1980,0.72,0.569,2,-11.466,1,0.142,0.000188,0.0629,0.713,122.403,213973,4
6JHXiRD1QjMK1N6AQEnL04,Biggest Part of Me,Ambrosia,61,3/26/1980,0.498,0.723,10,-8.053,1,0.238,0,0.353,0.882,153.227,324040,4
0YO8KsprTrEUEvJevpI7Na,This Is It,Kenny Loggins,53,1979,0.641,0.497,7,-12.228,0,0.254,2.15E-06,0.158,0.743,102.274,236733,4
5U0dlevVReSHtIcYytZlvL,Cupid / I've Loved You for a Long Time - Single Version; 2003 Remaster,The Spinners,33,2002,0.759,0.803,9,-6.036,1,0.392,0,0.144,0.877,122.824,235733,4
416LkbWckopGVSUoJKgOiR,Let's Get Serious - Single Version,Jermaine Jackson,28,1/15/1993,0.754,0.778,10,-9.029,0,0.0958,2.96E-06,0.245,0.935,109.602,214467,4
6xSrfSM8IvRPzwbC4VjBcg,Don't Fall In Love With A Dreamer,Kim Carnes,54,3/24/1980,0.575,0.219,9,-16.678,1,0.531,0,0.0946,0.329,79.976,222067,4
6Hu6dzwlvoyg3zBUC8k4BK,Sailing,Christopher Cross,67,1979,0.469,0.382,2,-13.203,1,0.364,0.00025,0.36,0.178,149.994,256147,4
56ilrbKJF2bph5W6eZaM5E,Longer,Dan Fogelberg,60,1979,0.308,0.0427,7,-24.709,1,0.865,0,0.179,0.383,158.399,195067,4
0JkIre0YxNmKGMU5V7ZiDx,Coward Of The County,Kenny Rogers,61,10/10/1979,0.652,0.433,7,-12.843,1,0.134,7.37E-06,0.146,0.675,91.471,258733,4
3pMeuv4OBarYqVR2bqCPVN,Ladies Night - Single Version,Kool & The Gang,57,5/25/2018,0.651,0.777,11,-7.853,1,0.186,0,0.0474,0.92,111.707,208733,4
0jNTJSaktLVy8iAi7KY2zB,Too Hot,Kool & The Gang,53,5/13/1979,0.717,0.253,7,-22.231,0,0.56,2.85E-05,0.0556,0.737,105.289,295160,4
4ctf7oL8fFRPvBstJCTYWu,Take Your Time (Do It Right),The S.O.S Band,52,5/24/2019,0.863,0.538,4,-13.924,0,0.0128,0.0188,0.0877,0.877,118.931,460800,4
1wSPm3y4Lk6ABkVxCmwkZx,No More Tears (Enough Is Enough) (feat. Donna Summer),Donna Summer,47,1/29/2002,0.634,0.644,2,-8.234,0,0.51,7.09E-05,0.32,0.286,135.24,282493,4
4SRAf6doXKEuMJxrHB8ILC,More Love,Kim Carnes,37,1/1/1993,0.523,0.529,0,-10.338,0,0.368,1.49E-06,0.0733,0.682,205.314,218160,4
0FBeVAGy58YREuZK2rpRVm,"Pop Muzik - Nik Launay '79 12""",Robin Scott,50,1/1/1979,0.94,0.727,1,-9.982,1,0.124,0.00021,0.0808,0.969,110.796,296467,4
1QaJWSCk3UMKLotnPCIHh1,Brass in Pocket - 2006 Remaster,Pretenders,59,1/11/1980,0.751,0.703,9,-5.687,1,0.368,0.00123,0.196,0.907,97.931,185960,4
570KJytRkVHTIocq1qomWF,Special Lady,Ray Goodman & Brown,36,1/1/1996,0.551,0.447,9,-12.293,1,0.463,3.73E-06,0.189,0.558,84.175,252800,4
3GcHkmz4horYIEPYvdB0xF,Send One Your Love,Stevie Wonder,36,10/30/1979,0.624,0.358,0,-17.456,0,0.715,1.25E-05,0.0862,0.418,72.841,242333,4
6yh8yf1jpPrTMA5cezYpbi,The Second Time Around,Shalamar,50,1/1/1979,0.801,0.388,1,-12.135,1,0.0123,7.16E-05,0.0924,0.577,112.367,223293,4
3Ug96zKa29P3vICEEcYajZ,We Don't Talk Anymore - 2001 Remaster,Cliff Richard,56,1979,0.746,0.703,0,-7.853,1,0.0014,0.00414,0.066,0.733,111.569,257160,4
3EG65y2LtxWjfydabHdItb,Stomp! - Single Version,The Brothers Johnson,59,1/1/2003,0.859,0.782,10,-8.344,1,0.154,0.0297,0.0693,0.931,119.518,247133,4
2bzgKuK3pVez40qUvo8sYr,Heartache Tonight - 2013 Remaster,Eagles,60,1979,0.81,0.511,0,-6.454,1,0.0778,0.000226,0.0714,0.858,113.153,265678,4
3E3K8IXR3o7XOBvaGE2e55,Tired of Toein' the Line,Rocky Burnette,45,9/7/1979,0.67,0.773,4,-10.953,0,0.677,0.00192,0.309,0.827,120.465,223373,4
2WHTHxUipSqJU9yJRnpO6S,Better Love Next Time,Dr. Hook,40,1/1/2007,0.758,0.729,9,-8.631,1,0.369,0,0.043,0.902,102.736,180907,4
5rMthFHPxRDi4Uxg06iK6H,Him,Rupert Holmes,52,1/1/1979,0.718,0.436,4,-13.524,1,0.339,0,0.0504,0.962,109.437,246293,4
2RbtLTXww1A9hZHipRa5A7,Against the Wind - Bob Seger and the Silver Bullet Band Tribute,Sam Morrison and Turn The Page,18,10/15/2010,0.691,0.814,7,-4.253,1,0.0973,5.31E-05,0.0877,0.614,108.508,332136,4
41v23mPw4Se92JKUGvnkmW,On The Radio,Donna Summer,59,10/15/1979,0.734,0.45,4,-13.92,0,0.113,1.13E-05,0.296,0.595,127.46,241507,4
5IATbFZds3cbOx8YxuMuko,Emotional Rescue - Remastered 2009,The Rolling Stones,53,6/20/1980,0.678,0.621,5,-5.478,1,0.111,0.0973,0.0394,0.776,113.389,339400,4
1TsmHRIXvMTLP7Vu53XsUV,Rise,Herb Alpert,51,9/1/1979,0.814,0.453,10,-10.802,1,0.134,0.834,0.0879,0.903,99.265,457400,4
7dQC53NiYOY9gKg3Qsu2Bs,All Out of Love,Air Supply,65,2/25/1980,0.513,0.262,0,-16.875,1,0.313,5.51E-06,0.456,0.357,108.383,243000,4
1RaUxP6LHVAgbmLOn2naLl,Cool Change - Remastered,Little River Band,62,1979,0.388,0.368,9,-10.984,1,0.319,2.02E-06,0.0992,0.175,128.527,313320,4
0qzEkwri1hE0rgxVqdOBAf,You're Only Lonely,JD Souther,47,1979,0.591,0.514,9,-10.183,1,0.263,7.80E-06,0.0797,0.658,108.975,228000,4
49l7qWoep8QoMsvvo1PTNb,I Just Want To Be Your Everything,Andy Gibb,8,8/21/2020,0.638,0.569,9,-10.718,1,0.0592,9.76E-06,0.108,0.899,96.809,225627,4
0otlwsD3mSogk7VJCTp6Kg,Let My Love Open The Door,Pete Townshend,65,4/21/1980,0.651,0.653,0,-9.731,1,0.365,0.000117,0.0742,0.729,164.912,164653,4
4kPLmTsTwA6wvtcbb0LtbM,Romeo's Tune,Steve Forbert,58,12/7/1979,0.571,0.721,9,-5.645,1,0.404,0.00961,0.299,0.733,95.027,212472,4
6qnPCgHTRisbxBT19Gw7cN,Daydream Believer,Anne Murray,36,1/1/1994,0.593,0.538,10,-8.292,1,0.0171,2.80E-05,0.101,0.579,126.509,149293,4
02BsTeJE4q5gWOTt58ur5U,I Can't Tell You Why - 2013 Remaster,Eagles,62,1979,0.707,0.346,11,-12.397,0,0.69,0.145,0.1,0.49,85.094,295050,4
0bFGteEuBXbVd0fbV2XpD3,Don't Let Go,Isaac Hayes,35,1/1/1979,0.864,0.691,8,-9.118,1,2.54E-05,0.778,0.0415,0.962,136.701,435160,4
5AzpZ5ADn1AFPxcEBd2Ugf,Don't Do Me Like That,Tom Petty and the Heartbreakers,60,10/19/1979,0.758,0.805,0,-4.243,1,0.211,1.53E-05,0.0982,0.961,116.543,161787,4
6NGsHLZYGVAkXTFr75WWnn,She's Out of My Life - Single Version,Michael Jackson,55,8/10/1979,0.293,0.0348,4,-23.92,1,0.962,0.000212,0.105,0.101,130.959,218267,4
5CI1FP2Volc9wjz2MBZsGx,Fame,Irene Cara,62,5/16/1980,0.7,0.73,0,-8.763,0,0.132,0,0.133,0.961,130.519,316067,4
2fZw0ya0oI4pXsjkB0NBHs,Fire Lake,Bob Seger,53,2/25/1980,0.613,0.695,9,-5.783,1,0.23,0.00191,0.187,0.45,122.47,212987,4
2WX2HSBKkcKVvqTukHZS22,How Do I Make You,Linda Ronstadt,34,1980,0.42,0.822,11,-8.269,1,0.000427,3.83E-05,0.166,0.843,165.936,144773,4
0rhyBUAgNXwdyvGVXSrLzc,Into The Night,Benny Mardones,55,1/1/1980,0.435,0.69,0,-6.635,0,0.463,0,0.104,0.51,163.486,271800,4
6vOMU2u38Z9Wru3CqPxcKs,Let Me Love You Tonight,Pure Prairie League,42,1/1/1980,0.461,0.454,10,-12.352,1,0.404,0,0.0657,0.703,104.556,167107,4
7zjSZQkMoGKylSq6s1rK9Y,Misunderstanding,Genesis,51,3/28/1980,0.645,0.828,0,-8.493,1,0.234,0,0.2,0.774,121.217,191667,3
4zqFPSBji6hVDBFWxzp6Oz,An American Dream,Nitty Gritty Dirt Band,52,1/1/1979,0.776,0.635,2,-6.321,1,0.253,0,0.0817,0.825,111.192,217200,4
0yFNDhDfpUudsjtpwokyx0,One Fine Day,Carole King,41,1980,0.397,0.809,5,-6.557,1,0.0133,0.00176,0.277,0.735,180.804,150200,4
27vdeVlzt3VEc82hK39T8B,Dim All The Lights,Donna Summer,42,4/25/1979,0.79,0.624,7,-13.953,1,0.0332,0.00115,0.187,0.82,120.559,280800,4
7gMOe0gXYcELUoVugfMmHP,You May Be Right,Billy Joel,62,3/12/1980,0.567,0.945,9,-7.243,1,0.175,2.60E-06,0.35,0.961,150.792,253200,4
4hIAiFaEtHWWofVzVm4eTo,Should've Never Let You Go,Dara Sedaka,32,4/24/2007,0.295,0.274,10,-10.942,1,0.799,8.74E-06,0.0831,0.268,144.766,258133,4
0aMgFXpZTDZvWqMXwPIMNK,Pilot of the Airwaves,Charlie Dore,35,6/12/1979,0.62,0.426,2,-13.791,1,0.671,0.000706,0.102,0.614,119.65,235116,4
3c0Ys2ie05I4Csansv7Jhi,Hurt so Bad,Linda Ronstadt,40,1980,0.63,0.432,7,-9.454,0,0.371,7.11E-05,0.11,0.604,99.889,196000,4
7oOOI85fVQvVnK5ynNMdW7,Rock with You - Single Version,Michael Jackson,73,8/10/1979,0.808,0.535,1,-12.521,1,0.179,9.91E-05,0.158,0.848,114.031,220627,4
7mZBgeTb3oLqTRwC1suWXN,I Pledge My Love,Peaches & Herb,39,3/14/1995,0.524,0.33,5,-14.264,1,0.654,0,0.0635,0.553,179.598,255000,3
02BsTeJE4q5gWOTt58ur5U,I Can't Tell You Why - 2013 Remaster,Eagles,62,1979,0.707,0.346,11,-12.397,0,0.69,0.145,0.1,0.49,85.094,295050,4
3Fa7jdzVHdykpioJP1Qw7Z,Stand By Me - Single Version,Mickey Gilley,49,1974,0.666,0.42,4,-12.28,1,0.699,0.0511,0.142,0.34,90.794,214924,4
22ML0MuFKfw16WejbxsLOy,Heartbreaker,Pat Benatar,62,1/1/1979,0.466,0.588,5,-10.666,0,0.285,9.94E-06,0.0535,0.882,156.131,209360,4
2AOunLYKGvwya5xDfFxiFj,Deja Vu,Dionne Warwick,43,1/1/1979,0.593,0.564,1,-12.585,0,0.308,0.000128,0.0676,0.587,145.623,304987,4
3PJ9yQv8IUmLx24KFvaVEI,Drivin' My Life Away,Eddie Rabbitt,52,1991,0.66,0.639,9,-12.749,1,0.0966,0.00104,0.0442,0.843,84.124,194667,4
0v0XYK0pLgsPiq5u4FKHaw,Take The Long Way Home - 2010 Remastered,Supertramp,63,3/29/1979,0.414,0.7,5,-8.838,1,0.22,0.000721,0.114,0.37,76.79,308853,4
0q1exbzIDRxqJ6VUKH3seg,Sara,Fleetwood Mac,58,11/21/1988,0.741,0.388,10,-16.693,1,0.384,0.0235,0.0933,0.589,126.819,382373,4
3wiM6jj066wDeNaCnxKsRk,Wait for Me,Daryl Hall & John Oates,40,1979,0.59,0.731,10,-7.12,1,0.161,3.07E-06,0.0744,0.918,175.268,247800,4
3tPmepOCcFRoxuFmmRe0Kn,JoJo,Boz Scaggs,47,1980,0.681,0.564,5,-8.176,0,0.293,0.00273,0.104,0.887,94.542,353493,4
2CXkN6UAb3jAFwz4VbsDq0,September Morn,Neil Diamond,57,12/22/1979,0.419,0.23,10,-17.102,1,0.628,5.85E-06,0.222,0.199,128.892,232000,4
62GYoGszQfROZswLee6W3O,Give Me the Night,George Benson,61,1981,0.85,0.466,1,-15.673,1,0.314,0.0234,0.129,0.86,109.936,222627,4
73vzOFFjJn4LUGUL9jhH4i,Broken Hearted Me,Anne Murray,49,1/1/2000,0.427,0.382,1,-11.774,1,0.164,1.22E-06,0.103,0.0726,133.562,236360,4
6SFeCisbYSqaQwL9hucoF2,You Decorated My Life,Kenny Rogers,58,10/10/1979,0.264,0.307,7,-12.36,1,0.662,0,0.101,0.153,172.546,218133,4
0iINibMKtoS8duvexsqnm5,Tusk - 2015 Remaster,Fleetwood Mac,56,10/12/1979,0.628,0.779,0,-11.841,1,0.224,0.776,0.151,0.936,180.837,217573,4
2XLAzm8bMDSI7MhbRW8nVj,I Wanna Be Your Lover,Prince,55,10/19/1979,0.812,0.506,1,-8.825,0,0.0399,0.0847,0.0671,0.727,114.832,347667,4
6IcoSnfvwFlYtYxu5TKbgg,In America,The Charlie Daniels Band,37,1973,0.64,0.855,0,-9.97,1,0.0888,0.000131,0.0824,0.863,117.72,198373,4
5FvXMfGmOvqbkEYRtcKUzE,Breakdown Dead Ahead,Boz Scaggs,42,1997,0.597,0.753,7,-9.845,1,0.147,0.00103,0.327,0.438,146.321,273867,4
6lOF261K1uiPZgKtureE90,Ships,Barry Manilow,41,1979,0.288,0.356,1,-8.264,1,0.719,0,0.128,0.107,125.808,248733,4
5ChtxGDwG1N9YMLiov1yiz,All Night Long (In the Style of Joe Walsh) [Karaoke Version],Ameritz Karaoke Entertainment,7,4/2/2012,0.626,0.568,9,-10.879,1,6.97E-05,0.842,0.158,0.409,126.982,210947,4
4mcZYzoGwPRDdhWVlygiHf,Refugee,Tom Petty and the Heartbreakers,63,10/19/1979,0.579,0.705,6,-4.911,0,0.0273,0,0.0704,0.761,116.173,201693,4
04PaRfXlfIbmcivy2BAppc,Careless Whisper (In the Style of Wham!) [Performance Track with Demonstration Vocals] - Single,Done Again,0,5/8/2012,0.607,0.521,2,-11.007,0,0.228,0,0.102,0.709,151.953,304734,4
1ZPlNanZsJSPK5h9YZZFbZ,Like a Virgin,Madonna,69,11/12/1984,0.771,0.655,3,-10.842,0,0.152,0.00197,0.0685,0.97,119.747,218627,4
0ikz6tENMONtK6qGkOrU3c,Wake Me Up Before You Go-Go,Wham!,77,10/23/1984,0.62,0.573,0,-11.893,1,0.271,0,0.0607,0.897,81.548,231333,4
1JLn8RhQzHz3qDqsChcmBl,I Want to Know What Love Is - 1999 Remaster,Foreigner,76,12/12/1984,0.477,0.471,6,-10.036,1,0.193,1.76E-06,0.131,0.423,81.204,304787,4
5yR9u8QiOt8hJaddv32oo7,I Feel for You,Chaka Khan,59,1984,0.698,0.912,11,-8.993,1,0.0145,0.0225,0.279,0.797,124.917,343400,4
7o67roCVsFiCt7Cf0ZLOJq,Out of Touch,Daryl Hall & John Oates,60,1/23/2001,0.806,0.649,9,-9.004,0,0.0391,5.55E-05,0.0557,0.897,114.834,249573,4
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Tears For Fears,80,2/25/1985,0.645,0.795,7,-12.095,1,0.347,0.00389,0.104,0.535,112.067,251489,4
4yqtwO7MQIIXqoiRBPHAgR,Money for Nothing,Dire Straits,63,5/13/1985,0.667,0.655,2,-9.339,0,0.0491,0.000894,0.0641,0.657,134.212,506400,4
6B4oVElDIKRNcNUary0WG7,Crazy for You,Madonna,60,9/18/2009,0.662,0.719,9,-6.606,1,0.107,0,0.102,0.511,95.001,224320,4
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,82,6/1/1985,0.573,0.902,6,-7.638,0,0.018,0.00125,0.0928,0.876,84.412,225280,4
0IpfTMKENGLJcULkMnU8Rb,Everytime You Go Away,Paul Young,29,2002,0.607,0.643,5,-11.493,1,0.177,0.000153,0.118,0.715,164.256,321573,4
5LYJ631w9ps5h9tdvac7yP,Easy Lover,Phil Collins,65,10/1/1984,0.74,0.923,1,-5.082,1,0.105,0.000163,0.0825,0.93,128.871,305867,4
5WwqdeavrQrbeAMDxGawse,Can't Fight This Feeling,REO Speedwagon,70,11/5/1984,0.408,0.48,9,-11.017,1,0.155,1.82E-05,0.0877,0.19,156.344,294773,4
6OnfBiiSc9RGKiBKKtZXgQ,We Built This City,Starship,74,9/10/1985,0.661,0.908,5,-4.897,1,0.052,0,0.0708,0.656,144.091,296080,4
2olVm1lHicpveMAo4AUDRB,The Power Of Love,Huey Lewis & The News,72,1/1/2006,0.768,0.829,5,-5.109,1,0.0964,2.92E-05,0.097,0.962,118.773,234333,4
3fH4KjXFYMmljxrcGrbPj9,Don't You (Forget About Me),Simple Minds,73,1985,0.66,0.816,2,-6.61,1,0.168,0.0181,0.0608,0.678,111.346,263040,4
2yCAGizViD7HZXwNYxJToQ,Cherish - Single Version,Kool & The Gang,60,5/25/2018,0.643,0.568,1,-9.903,1,0.135,0,0.195,0.434,95.17,238000,4
1A2PWRltFrX8iB8IP3CUgo,St. Elmos Fire (Man in Motion),John Parr,64,1/1/1985,0.612,0.6,9,-10.945,1,0.15,3.04E-06,0.222,0.471,111.203,251800,4
0PXw9NKvolWTo7U9JkNzmc,"The Heat Is On - From ""Beverly Hills Cop"" Soundtrack",Glenn Frey,65,4/27/2018,0.622,0.865,7,-6.369,1,0.0167,2.34E-05,0.0692,0.87,149.706,227800,4
5Z5dYF7PNmRB100RJPFdcs,We Are The World,USA for Africa,6,3/25/2020,0.268,0.29,4,-13.611,1,0.904,0.429,0.695,0.191,100.011,282227,4
2gQaQUhDCNGfBVXTvxAmXQ,Shout,Tears For Fears,69,2/25/1985,0.511,0.942,0,-10.407,1,0.174,1.87E-05,0.139,0.498,97.909,393667,4
457WpX5WxQJdUyX6il073N,Part-Time Lover,Stevie Wonder,1,4/28/2022,0.663,0.625,10,-13.606,0,0.165,0,0.0673,0.961,174.515,252560,4
1lx8ddGT5wCD6W2xmLeRKG,Saving All My Love for You,Whitney Houston,64,2/14/1985,0.636,0.264,6,-14.567,0,0.593,4.22E-05,0.275,0.264,99.304,238467,3
7Ewz6bJ97vUqk5HdkvguFQ,Heaven,Bryan Adams,74,11/5/1984,0.382,0.589,9,-7.315,0,0.0465,0,0.122,0.335,140.059,243360,4
5hXEcqQhEjfZdbIZLO8mf2,Everything She Wants,Wham!,61,10/23/1984,0.899,0.459,6,-15.557,0,0.322,0.00406,0.165,0.962,115.09,302693,4
5LkcAjqj5NOctNGi2qUjlw,Cool It Now,New Edition,52,1/1/1984,0.871,0.532,10,-13.335,0,0.126,0.00819,0.321,0.74,116.574,347667,4
1biP5gM7Le8S3E7GJEKgXC,Miami Vice Theme,Jan Hammer,39,1/1/1987,0.571,0.924,7,-9.887,1,0.547,0.896,0.432,0.854,115.431,147600,4
1rG2EZw9GJuBPleLhS64sn,Loverboy,Billy Ocean,52,4/26/2010,0.734,0.71,6,-9.164,0,0.0915,2.28E-05,0.0635,0.715,107.901,249360,4
13xKh7WqwxzEFYhYCJJwHg,Lovergirl,Teena Marie,46,10/8/1999,0.73,0.756,9,-7.509,0,0.0469,0.00333,0.235,0.827,123.604,259560,4
0b8eSsBka9epA2J0wnPMax,You Belong To The City,Glenn Frey,55,4/27/2018,0.669,0.703,4,-5.789,0,0.06,0.00147,0.0623,0.436,109.48,352760,4
5PM96PMKMfD1lLX2lryUsG,Oh Sheila,Ready For The World,52,1/1/1985,0.798,0.577,0,-10.347,1,0.0234,0.00112,0.0728,0.835,128.82,240093,4
5yGTQzYbEdY6B9RFZJypgt,Rhythm Of The Night,DeBarge,64,1985,0.707,0.759,11,-12.328,0,0.0769,2.84E-05,0.0775,0.955,115.142,229107,4
6fkvIT9KFKxO8poBeKfaEf,One More Night - 2016 Remaster,Phil Collins,66,1/25/1985,0.534,0.442,3,-9.442,1,0.788,0.000351,0.0986,0.343,136.369,288973,4
0VMGij4wSGBM5pSTcqjxeD,Sea of Love - 2006 Remaster,The Honeydrippers,50,1984,0.422,0.411,7,-9.004,1,0.111,0.00113,0.324,0.393,82.737,183880,4
6I4snLrVOrJsLdd43isc27,A View to a Kill,Duran Duran,57,11/13/1989,0.706,0.814,1,-5.405,1,0.0159,0,0.262,0.778,125.472,217693,4
23M7cQkNJLiddeubvVgaQl,The Wild Boys,Duran Duran,55,11/9/1998,0.741,0.838,11,-7.622,0,0.407,0,0.138,0.586,115.689,257600,4
36lkJSDyMEZoWTqtRj8Q8q,You're the Inspiration - 2006 Remaster,Chicago,69,5/14/1984,0.583,0.602,11,-6.364,1,0.368,0,0.22,0.388,74.008,229240,4
3Uyxe1fbF4zWSEwy38qgMw,Neutron Dance,The Pointer Sisters,50,4/1/1983,0.752,0.839,9,-6.879,1,0.0236,0,0.263,0.864,104.794,253413,4
665Jxlgi1HamPKbW1vwzx4,We Belong,Pat Benatar,65,1984,0.706,0.322,5,-14.108,1,0.528,2.37E-06,0.576,0.305,135.154,221133,4
23IK8TF2MSiLnuEjaYPfVV,Nightshift,Commodores,61,1/1/1985,0.727,0.559,8,-10.194,1,0.62,0.0114,0.0629,0.393,105.06,306560,4
1RbOObDFn7GOseR1w529Zj,Things Can Only Get Better,Howard Jones,55,1985,0.752,0.743,7,-6.083,1,0.0314,0.000117,0.128,0.832,108.254,235827,4
7LLBFAlUOE6rUHDePQL57a,All I Need,Jack Wagner,43,1/1/1984,0.475,0.375,9,-12.023,1,0.468,0,0.162,0.166,140.277,209493,4
0lpIVCLNQRBKffcRRNrHyh,Freeway Of Love,Aretha Franklin,47,1985,0.688,0.899,2,-6.328,1,0.242,5.55E-06,0.0223,0.833,126.509,352093,4
5U5p472hgeXUKvh0d8RL4K,Never Surrender,Corey Hart,49,1/1/1985,0.552,0.538,2,-11.085,1,0.516,0,0.202,0.401,104.131,295000,4
4qM461TqtpnP4GLRIXwEnW,Sussudio - 2016 Remaster,Phil Collins,65,1/25/1985,0.714,0.935,5,-5.195,1,0.0529,0.0934,0.0515,0.725,121.232,263107,4
6gFIFMI3tsrM5QojcvVMfZ,Strut,Sheena Easton,43,1984,0.91,0.751,1,-11.29,1,0.295,0.00214,0.141,0.975,114.659,240960,4
0t6DdFmFQhQYWhmfa5FJer,You Give Good Love,Whitney Houston,51,2/14/1985,0.559,0.365,5,-13.654,1,0.686,0,0.0771,0.534,74.802,277240,4
1M3xrSPzPcKkCnXGHFPKaw,The Search Is Over,Survivor,53,1/1/1984,0.527,0.342,3,-12.272,1,0.59,0,0.0803,0.148,124.209,252613,4
0jVfjWK9DUc5ShqwwPADyp,Missing You,Diana Ross,35,9/13/1984,0.644,0.355,4,-11.41,0,0.658,0.00116,0.0485,0.187,86.822,245347,4
6DEFVerhYVJ6ZkPJiPl5Sm,Separate Lives - 2016 Remaster,Marilyn Martin,54,10/14/2016,0.32,0.308,4,-9.118,1,0.237,0,0.319,0.193,93.173,248907,4
